Cheat,NTX,NTY,NTZ,LCX,LCY,LCZ,RCX,RCY,RCZ,MEX,MEY,MEZ,Faces,Dir,NotVis,Vis ,VisCount,FirstObj,SecondObj,Tob
1,307.258,386.928,-14.5558,339.596,400.355,-24.9227,279.858,368.439,-1.08225,321.794,363.27,0.419102,1,6,58:38.0,58:38.0,2,1,0,0
1,302.493,380.988,-13.0191,333.889,389.758,-22.4058,275.684,367.57,-0.681835,310.996,355.202,-0.14335,1,6,58:38.0,58:38.0,2,1,0,0
1,313.335,378.02,-5.4593,329.847,389.135,-21.0074,281.574,362.407,7.48866,316.449,355.063,-10.6974,1,6,58:38.0,58:38.0,2,1,0,0
1,308.958,371.323,-3.73728,326.182,382.559,-19.3265,275.91,356.741,6.4222,313.643,345.755,-10.3601,1,6,58:38.0,58:38.0,2,1,0,0
1,310.466,377.469,-6.86022,327.85,387.102,-20.2008,274.813,360.059,9.39131,313.744,350.286,-11.768,1,6,58:38.0,58:38.0,2,1,0,0
1,320.583,371.196,-2.21661,327.828,377.088,-16.7611,290.658,357.312,13.1937,319.679,347.066,-16.4863,1,6,58:38.0,58:38.0,2,1,0,0
1,304.499,359.285,-10.565,328.951,363.354,-23.9085,277.296,352.563,1.7311,308.094,338.084,-3.60838,1,6,58:38.0,58:38.0,2,1,0,0
1,305.525,319.415,-15.7503,318.658,318.741,-22.5012,277.081,313.222,12.9939,304.117,298.795,-11.6885,1,6,58:38.0,58:38.0,2,1,0,0
1,306.513,385.06,-3.31993,323.496,398.653,-20.0721,274.959,368.413,5.12434,313.138,360.741,-9.42989,1,6,58:38.0,58:38.0,2,1,0,0
1,311.912,375.33,-7.19475,333.705,390.37,-23.2285,284.646,358.602,2.23623,322.114,354.617,-5.52496,1,6,58:38.0,58:38.0,2,1,0,0
1,322.735,389.29,-7.32865,344.593,404.885,-22.3231,292.252,369.994,3.95814,332.72,366.299,-6.82387,1,6,58:38.0,58:38.0,2,1,0,0
1,314.611,385.689,-14.7834,339.077,389.142,-22.5454,279.337,371.709,7.4042,319.021,357.235,-6.99551,1,6,58:38.0,58:38.0,2,1,0,0
1,328.593,376.808,-0.837509,335.967,383.235,-16.1604,293.218,367.545,12.9239,323.614,351.097,-16.9242,1,6,58:38.0,58:38.0,2,1,0,0
1,307.005,355.148,6.03367,320.519,368.128,-20.9241,269.719,351.337,5.33613,300.175,330.553,-13.6213,1,6,58:38.0,58:38.0,2,1,0,0
1,319.492,349.713,1.69481,319.345,361.336,-19.5893,278.828,359.742,24.6186,307.311,328.213,-30.9978,1,6,58:38.0,58:38.0,2,1,0,0
